round,mse,rmse,mae,r2
1,0.007300918755667194,0.08048561727097402,0.05962448845153863,0.22644696275043066
2,0.00825516910185537,0.08497468434690261,0.06359711055221275,0.09383765414422829
3,0.008738041222957066,0.08479845307575222,0.06367633032739688,0.04874987224125127
4,0.008240317308860892,0.08381652498144086,0.06368968394063905,0.12136977291317239
5,0.008413989070724975,0.08475283209909001,0.06553884555753894,0.08114452509102843
6,0.008595909743102079,0.08417186537317789,0.06297294739879963,0.07103796378106272
7,0.00742357827472759,0.07937713221706522,0.05909340959124366,0.21589103595800863
8,0.009650303004719809,0.0895289906093961,0.07060962299845029,-0.12450822455242341
9,0.009367785116222724,0.08720042760024764,0.06746436304654845,-0.024128327311923325
10,0.008434347075816358,0.08442746993762133,0.06500451250518734,0.08279423860726377
11,0.009047966952525932,0.08678139639172018,0.06827093557278227,-0.014878065523071962
12,0.008280810770796128,0.08513992613298373,0.06502197638547894,0.10573265951635553
13,0.009137291186858411,0.08542665161079818,0.06603275394551292,0.005201997788467071
14,0.007895869542721512,0.08164648879827294,0.06201066880072528,0.14061057971962748
15,0.008152994757624843,0.08287710632830488,0.06233784695717994,0.14069054237021222
16,0.008274370832532841,0.08219467690162087,0.06281411371107669,0.09067318247803507
17,0.007740259348488688,0.07969023271955518,0.05969513159589883,0.16091076718553046
18,0.008767645320514553,0.08415560630132721,0.06577849012311335,0.03808444901184889
19,0.00969317665627218,0.08952270756951848,0.07000742054294122,-0.07241494613597046
20,0.009612404062958343,0.08808615804216745,0.06723697999664603,-0.08998411665403895
21,0.008670881817564532,0.08510032692060937,0.06590015408685554,0.07131721576930143
22,0.008705235594916384,0.08564821229697243,0.06584440401800404,0.013490647235105742
23,0.008590733295610166,0.08309955132257507,0.06253581729754477,0.03645130128062244
24,0.009051814917905772,0.0858955010914306,0.0664125061048285,0.0004195190211224661
25,0.00771334643059283,0.08121606932054587,0.060619186664139645,0.18420135321070968
26,0.008946907495472597,0.08760070822366982,0.06594061251680494,0.020235626708043304
27,0.007964400128801948,0.08136945304217684,0.06079587413219628,0.1399731576705294
28,0.008879543893092562,0.08481899672788289,0.06532764371796326,0.041915372736128415
29,0.008538599616626385,0.0818983385481899,0.06249867409205122,0.053242507432525905
30,0.008164613321218393,0.08357792579880748,0.06340455778336998,0.10725684079304666
31,0.008399814919933742,0.08534721108392697,0.06653733464195864,0.08532357735780892
32,0.008207701539645373,0.08366006580650592,0.0629435643455268,0.12556801519730018
33,0.009125311418727763,0.08728916583207841,0.06849681581596183,-0.0130840421510688
34,0.009389340684704055,0.08788636255615458,0.0680735952971659,-0.0007933923326399883
35,0.007454980048453559,0.08139383072045855,0.0603703302105618,0.22182197673205237
36,0.007749777734546311,0.08029041265985058,0.0602535999014908,0.16533701624639233
37,0.009647828798191335,0.08715159290232627,0.06741890153859943,-0.09739196392408027
38,0.008502552991462175,0.085161203021958,0.06515081555045124,0.046544883902377494
39,0.007931875751152766,0.08163073309298235,0.061586241703070206,0.15803838159544353
40,0.008701486444092531,0.08637603740014536,0.06772705139961537,0.018206810636142278
41,0.0081256675822168,0.08410186802577574,0.0651174859328417,0.12959451176521536
42,0.008198933546135965,0.08222909810654094,0.06325390087153418,0.07283982834101774
43,0.008744203801664815,0.08498109533605253,0.06594559940866437,0.06019046577062901
44,0.007485136609844502,0.07983722194064821,0.05963269365614994,0.18889397301337793
45,0.007971794659370302,0.08141473017040618,0.06097910370726942,0.1258682905052202
46,0.007329569408661862,0.07988501597085704,0.060579113708193605,0.20290596164795796
47,0.008888551104805608,0.08515854261751993,0.06663417942854802,0.062240072835384484
48,0.007322065824733038,0.07987039912233057,0.05946169366592353,0.20547420705467595
49,0.007603505822431936,0.0802581501520031,0.06040594309962268,0.17397553910242827
50,0.00909638240715973,0.08426515308090747,0.06508241810298439,0.004529166930572577
