epoch,mse,rmse,mae,r2
1,0.008609546348452568,0.09278764114068515,0.06591352075338364,0.24991347674981212
2,0.006879349704831839,0.08294184531846298,0.058158308267593384,0.4006527238418611
3,0.006335838232189417,0.0795979788197503,0.05497599393129349,0.44800493181581813
4,0.0058730426244437695,0.07663577900983176,0.052386194467544556,0.48832490532133244
5,0.005842818412929773,0.07643833078325149,0.05235888436436653,0.49095811987934446
6,0.0056287981569767,0.0750253167735845,0.050390418618917465,0.5096041628138201
7,0.005594671703875065,0.07479753808699231,0.050475914031267166,0.5125772798632877
8,0.0054695624858140945,0.0739564904914646,0.048653580248355865,0.5234771770252025
9,0.0055291433818638325,0.07435820991567664,0.04893868789076805,0.518286289728916
10,0.005522014107555151,0.07431025573603654,0.04851074144244194,0.5189074633765633
11,0.005385939031839371,0.07338895715187245,0.047510579228401184,0.5307626272588262
12,0.005381580907851458,0.0733592591828152,0.04738755524158478,0.5311423876242785
13,0.0053930385038256645,0.07343731002580135,0.04767988249659538,0.530144148999975
14,0.005342091433703899,0.0730896123515777,0.04698363319039345,0.5345827883555403
15,0.005314309149980545,0.07289930829562476,0.04753151908516884,0.5370032654276928
16,0.005500872153788805,0.07416786469751442,0.04778077080845833,0.5207494090573705
17,0.005484362598508596,0.07405648248808876,0.04796994850039482,0.522187746303933
18,0.005270474590361118,0.07259803434226796,0.04665263742208481,0.5408222465136892
19,0.005357678979635239,0.07319616779337043,0.04650784656405449,0.5332247432489012
20,0.005145621951669455,0.07173299067841417,0.046446818858385086,0.5516997315114096
21,0.005347649101167917,0.07312762201225961,0.046812672168016434,0.5340985908019216
22,0.005325743928551674,0.07297769473305987,0.04627036303281784,0.5360070481393631
23,0.005458593834191561,0.07388229716374255,0.04675539210438728,0.5244327744418713
24,0.005228900350630283,0.07231113573046881,0.047215890139341354,0.5444442713663429
25,0.005224727559834719,0.07228227694141019,0.04734097048640251,0.5448078390672314
26,0.005298321601003408,0.07278957068841256,0.04774215444922447,0.538396138207553
27,0.005339877679944038,0.07307446667574138,0.04764068126678467,0.534775669285112
28,0.005149203818291426,0.07175795299680326,0.04589548707008362,0.5513876845082166
29,0.005201735999435186,0.07212306149516386,0.046427927911281586,0.5468108953132533
30,0.005195027217268944,0.07207653721752276,0.04630432277917862,0.547395429709952
31,0.005322614684700966,0.0729562518547997,0.04606807604432106,0.536279668929744
32,0.0052892412059009075,0.07272716965413206,0.046744782477617264,0.5391872602856823
33,0.005226275883615017,0.07229298640680863,0.04617158696055412,0.5446729266225668
34,0.005229505710303783,0.07231532140773339,0.04628129303455353,0.5443915796712447
35,0.0054269698448479176,0.07366797027778027,0.04713819548487663,0.5271879439096754
36,0.005472666583955288,0.07397747348994346,0.04585248604416847,0.5232067502337139
37,0.0052399905398488045,0.0723877789398791,0.04627175256609917,0.543478072308127
38,0.005243622697889805,0.0724128627930826,0.0459209680557251,0.543161628345646
39,0.005495060700923204,0.07412867664354467,0.04744594544172287,0.5212557350704992
40,0.005566481500864029,0.07460885671864989,0.046625103801488876,0.5150333365803795
41,0.0055091362446546555,0.0742235558610247,0.046698763966560364,0.5200294117656874
42,0.00580840278416872,0.07621287807299183,0.04678443819284439,0.4939565015580206
43,0.0056943222880363464,0.07546073341835703,0.047335583716630936,0.503895482547095
44,0.005442640278488398,0.0737742521377777,0.046947773545980453,0.5258227125419781
45,0.0059413425624370575,0.07708010484189197,0.04891084507107735,0.48237444088042425
46,0.005824629217386246,0.07631925849604572,0.04717893898487091,0.4925428099688205
47,0.0054956404492259026,0.07413258695894744,0.04597656801342964,0.521205195359612
48,0.005442563910037279,0.07377373455395408,0.04558662697672844,0.5258293451028913
49,0.005775261204689741,0.07599513934910404,0.04791706055402756,0.4968438338239288
50,0.005526428576558828,0.07433995276134381,0.04601383954286575,0.5185228328853478
